,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Havelock,1,US,1583037517,38,34.88,-76.9,278.15,4.6
376,Vargem Grande,100,BR,1583037517,99,-3.54,-43.92,296.25,1.01
377,Palmas Bellas,4,PA,1583037517,74,9.23,-80.09,299.15,3.6
378,San Patricio,0,MX,1583037517,71,19.22,-104.7,297.79,2.86
379,Agirish,49,RU,1583037518,81,61.92,63.02,270.67,5.78
380,Upata,20,VE,1583037518,93,8.01,-62.4,292.97,2.12
381,Whittlesea,14,ZA,1583037518,73,-32.18,26.82,289.5,1.45
382,Sur,0,OM,1583037519,31,22.57,59.53,299.43,1.6
383,Mamit,0,IN,1583037519,25,23.93,92.48,304.44,1.38
384,Bathsheba,40,BB,1583037519,73,13.22,-59.52,298.15,7.7
385,Dalby,24,AU,1583037307,38,-27.18,151.27,304.15,3.1
386,Gloucester,20,GB,1583037424,86,51.87,-2.24,278.15,5.1
387,Saint-Pierre,14,RE,1583037521,66,-21.34,55.48,302.15,1.0
388,Walvis Bay,75,NA,1583037521,88,-22.96,14.51,293.15,1.5
389,Timmins,5,CA,1583037521,83,48.47,-81.33,251.15,1.5
390,Broome,90,US,1583037522,78,42.25,-75.83,267.04,3.1
391,Luanda,75,AO,1583037235,88,-8.84,13.23,297.15,2.6
392,Ranau,20,MY,1583037522,70,5.95,116.66,305.15,2.6
393,Necochea,0,AR,1583037522,96,-38.55,-58.74,290.93,1.79
394,Ayr,75,GB,1583037523,86,55.46,-4.63,278.15,12.3
395,Lososina,14,RU,1583037523,90,49.0,140.31,262.92,3.69
396,Nemuro,90,JP,1583037523,92,43.32,145.57,268.15,2.1
397,Takaka,88,NZ,1583037247,73,-40.85,172.8,295.93,1.34
398,Las Juntas,0,MX,1583037524,67,19.42,-104.7,293.18,1.09
399,Jijiga,78,ET,1583037524,23,9.35,42.8,296.1,4.35
400,Zacualpan,5,MX,1583037524,94,21.25,-105.17,296.48,1.0
401,Samarai,99,PG,1583037524,63,-10.62,150.67,303.58,1.87
402,Baykit,18,RU,1583037525,83,61.67,96.37,263.28,0.63
403,Virginia Beach,1,US,1583037407,37,36.85,-75.98,277.15,3.6
404,Atakent,42,KZ,1583037525,38,40.85,68.51,289.28,2.97
405,Huixquilucan,5,MX,1583037525,58,19.36,-99.35,292.15,0.94
406,Immokalee,1,US,1583037526,65,26.42,-81.42,287.15,3.14
407,Bagratashen,75,AM,1583037526,81,41.24,44.82,279.15,7.2
408,Te Anau,17,NZ,1583037526,68,-45.42,167.72,290.71,2.74
409,Le Port,47,RE,1583037526,74,-20.94,55.29,302.15,0.5
410,Brae,70,GB,1583037527,69,60.4,-1.35,279.15,9.3
411,Songea,75,TZ,1583037527,94,-10.68,35.65,293.15,3.1
412,Kargasok,99,RU,1583037527,95,59.06,80.86,273.94,6.93
413,Peace River,20,CA,1583037527,84,56.25,-117.29,260.15,1.43
414,Thinadhoo,47,MV,1583037528,78,0.53,72.93,301.24,5.67
415,Los Llanos de Aridane,40,ES,1583037528,82,28.66,-17.92,290.15,2.6
416,Chimoré,55,BO,1583037528,66,-16.98,-65.13,295.22,1.17
417,Prince Rupert,90,CA,1583037462,74,54.32,-130.32,277.15,2.6
418,Gushikawa,90,JP,1583037529,77,26.35,127.87,299.15,5.1
419,St. George's,20,GD,1583037529,69,12.06,-61.75,299.15,7.7
420,Lichuan,28,CN,1583037529,58,30.3,108.85,287.32,2.56
421,La Ronge,90,CA,1583037530,85,55.1,-105.28,267.15,7.7
422,Dwārka,0,IN,1583037530,76,22.24,68.97,296.15,2.06
423,Boca do Acre,100,BR,1583037530,90,-8.75,-67.4,295.88,0.85
424,Laguna,90,US,1583037457,62,38.42,-121.42,286.48,3.1
425,Wamba,50,NG,1583037531,25,8.93,8.6,294.7,1.85
426,Narodychi,100,UA,1583037531,71,51.2,29.08,274.96,6.6
427,El Monte,40,US,1583037531,72,34.07,-118.03,290.15,2.6
428,Erzin,20,TR,1583037532,100,36.96,36.2,283.15,0.44
429,Alta Floresta,100,BR,1583037532,98,-9.88,-56.09,295.61,0.75
430,Lanivtsi,100,UA,1583037532,78,49.86,26.09,275.45,5.67
431,Smolenka,100,RU,1583037532,57,52.14,113.5,266.15,1.0
432,Benito Juarez,5,MX,1583037258,34,19.39,-99.17,292.15,5.1
433,Wanning,13,CN,1583037533,75,18.8,110.4,298.46,3.69
434,Bonavista,0,CA,1583037533,75,48.65,-53.11,267.55,1.54
435,Sola,75,VU,1583037533,74,-13.88,167.55,303.15,3.48
436,Margherita,20,IN,1583037533,43,27.28,95.68,301.98,0.43
437,Kaeo,78,NZ,1583037533,74,-35.1,173.78,297.59,2.24
438,Beringovskiy,9,RU,1583037534,87,63.05,179.32,252.85,9.42
439,Whitehorse,90,CA,1583037474,66,60.72,-135.05,262.15,10.3
440,Dingle,69,PH,1583037534,60,11.0,122.67,302.69,5.11
441,Road Town,1,VG,1583037534,88,18.42,-64.62,298.15,2.1
442,Mahabalipuram,40,IN,1583037535,66,12.63,80.17,302.59,1.5
443,Puerto Baquerizo Moreno,56,EC,1583037535,85,-0.9,-89.6,299.81,3.14
444,Deputatsky,0,RU,1583037535,60,69.3,139.9,256.59,2.22
445,Hanna,100,CA,1583037535,93,51.63,-111.9,268.71,4.92
446,Abu Samrah,100,SY,1583037535,82,35.3,37.18,280.47,5.53
447,Kropotkin,99,RU,1583037536,84,45.44,40.58,276.22,5.28
448,Asău,100,RO,1583037536,63,46.43,26.4,275.37,6.7
449,Sittwe,0,MM,1583037536,47,20.15,92.9,298.25,3.64
450,Kieta,22,PG,1583037536,68,-6.22,155.63,302.74,1.8
451,Rusnė,75,LT,1583037537,93,55.3,21.38,278.15,8.0
452,Langsa,71,ID,1583037537,57,4.47,97.97,305.05,2.97
453,Petropavlovsk-Kamchatskiy,61,RU,1583037537,50,53.05,158.65,272.15,2.0
454,Palana,0,RU,1583037537,84,59.12,159.97,259.4,2.58
455,Tautira,75,PF,1583037537,94,-17.73,-149.15,298.15,7.7
456,Xihe,0,CN,1583037538,50,31.69,113.47,289.28,5.54
457,Faya,0,SA,1583037538,58,18.39,42.45,286.15,3.6
458,Vestmannaeyjar,100,IS,1583037538,70,63.44,-20.27,276.56,7.58
459,Port Hardy,40,CA,1583037538,86,50.7,-127.42,276.15,3.1
460,Begunitsy,94,RU,1583037538,92,59.59,29.32,270.15,3.0
461,Fort Nelson,20,CA,1583037539,70,58.81,-122.7,255.15,1.32
462,Saint-Augustin,8,CA,1583037539,91,51.23,-58.65,262.27,2.96
463,Mitsamiouli,40,KM,1583037539,88,-11.38,43.28,300.15,2.6
464,Vila Velha,90,BR,1583037539,100,-20.33,-40.29,297.15,1.5
465,Tateyama,75,JP,1583037540,54,34.98,139.87,291.48,5.1
466,Myitkyina,0,MM,1583037540,22,25.38,97.4,305.96,0.82
467,Cockburn Town,84,TC,1583037540,78,21.46,-71.14,296.48,10.37
468,Altamira,92,BR,1583037540,96,-3.2,-52.21,295.61,0.58
469,Tura,0,IN,1583037540,24,25.52,90.22,306.46,0.55
470,Kruisfontein,0,ZA,1583037541,74,-34.0,24.73,291.48,2.91
471,Mama,99,RU,1583037541,85,58.31,112.9,265.39,0.84
472,Moskovskiy,94,RU,1583037541,92,55.6,37.35,273.15,3.0
473,Aksu,11,CN,1583037542,26,41.12,80.26,283.68,0.98
474,Opotiki,19,NZ,1583037542,70,-38.08,177.28,298.15,2.24
475,Belmonte,75,BR,1583037542,88,-15.86,-38.88,297.15,1.5
476,Mumford,18,GH,1583037542,94,5.26,-0.76,298.41,1.34
477,Pokhara,36,NP,1583037543,30,28.23,83.98,299.17,2.03
478,Codrington,100,AU,1583037543,82,-38.27,141.97,290.18,10.17
479,Aljezur,83,PT,1583037543,94,37.32,-8.8,287.04,7.14
480,Cartagena,0,CO,1583037543,78,10.4,-75.51,299.15,4.1
481,Roald,100,NO,1583037543,74,62.58,6.13,275.37,7.7
482,Norfolk,17,US,1583037544,57,42.17,-71.25,268.71,6.2
483,Mingora,0,PK,1583037544,34,34.78,72.36,286.24,2.44
484,Olinda,40,BR,1583037544,83,-8.01,-34.86,300.15,2.1
485,Thompson,90,CA,1583037544,92,55.74,-97.86,268.15,2.6
486,Ahipara,100,NZ,1583037545,79,-35.17,173.17,294.95,2.75
487,Janakkala,75,FI,1583037545,97,60.9,24.6,274.26,3.6
488,Hare Bay,20,CA,1583037545,79,48.85,-54.01,267.15,2.6
489,Jackson,90,US,1583037366,65,42.42,-122.83,279.15,3.1
490,Batagay-Alyta,32,RU,1583037546,61,67.8,130.41,256.6,0.79
491,Bereda,40,ES,1583037546,76,43.27,-7.54,286.15,7.7
492,Cuenca,100,EC,1583037334,87,-2.88,-78.98,289.15,1.0
493,Alofi,1,NU,1583037546,74,-19.06,-169.92,302.15,4.1
494,Kalmunai,51,LK,1583037546,78,7.42,81.82,300.21,6.58
495,Mobaye,12,CF,1583037547,51,4.32,21.18,300.1,0.81
496,Clarence Town,40,AU,1583037547,55,-32.58,151.78,307.04,3.6
497,Sorrento,75,IT,1583037547,81,40.63,14.37,286.48,6.7
498,Saint Stephen,86,GB,1583037547,75,50.33,-4.9,279.82,10.8
499,Rancho Palos Verdes,40,US,1583037548,72,33.74,-118.39,289.26,2.6
500,Nuuk,16,GL,1583037548,71,64.18,-51.72,257.15,5.7
501,Grindavik,75,IS,1583037548,74,63.84,-22.43,275.15,8.2
502,Srednekolymsk,0,RU,1583037548,82,67.45,153.68,259.93,2.25
503,Bulungu,100,CD,1583037549,90,-4.55,18.6,296.07,1.07
504,Kirovskiy,100,RU,1583037549,87,45.09,133.51,268.69,1.46
505,Santiago,0,CL,1583037225,72,-33.46,-70.65,291.15,2.1
506,Chiredzi,68,ZW,1583037549,82,-21.05,31.67,292.13,3.14
507,Birnin Kebbi,65,NG,1583037549,14,12.45,4.2,295.61,3.39
508,Kayerkan,100,RU,1583037550,78,69.35,87.76,261.15,12.0
509,Tromsø,40,NO,1583037550,72,69.65,18.96,265.15,5.1
510,Barra do Garças,100,BR,1583037550,99,-15.89,-52.26,293.77,0.71
511,Statesboro,1,US,1583037550,51,32.45,-81.78,279.15,2.17
512,Mitzic,100,GA,1583037551,94,0.78,11.55,295.06,1.19
513,Osypenko,0,UA,1583037551,64,46.91,36.83,276.24,2.14
514,Verkhnevilyuysk,100,RU,1583037551,91,63.45,120.32,259.21,1.53
515,Glenwood Springs,90,US,1583037551,58,39.55,-107.32,278.15,5.1
516,Kolpny,0,RU,1583037551,80,52.23,37.04,273.08,4.76
517,Beidao,50,CN,1583037552,27,34.57,105.89,282.6,3.6
518,Khani,90,GE,1583037552,93,41.96,42.96,281.15,4.6
519,Augustów,100,PL,1583037552,91,53.84,22.98,277.52,5.8
520,Pacific Grove,1,US,1583037552,70,36.62,-121.92,284.26,4.1
521,Liku,45,ID,1583037553,71,-0.73,119.89,301.77,1.34
522,Rovigo,75,IT,1583037553,65,45.08,11.79,281.48,3.1
523,Kosh-Agach,46,RU,1583037306,80,50.0,88.67,261.61,0.57
524,Sturgis,1,US,1583037553,72,41.8,-85.42,268.15,1.5
525,Santa Maria,0,BR,1583037553,72,-29.68,-53.81,291.15,2.1
526,Cedar Rapids,1,US,1583037554,82,42.01,-91.64,276.15,7.2
527,Shubarkuduk,100,KZ,1583037554,88,49.14,56.49,272.17,2.73
528,Bara,13,NG,1583037554,22,10.37,10.73,294.76,1.83
529,Foso,33,GH,1583037554,92,5.7,-1.29,298.95,1.18
530,Touros,75,BR,1583037555,94,-5.2,-35.46,298.15,1.0
531,San Carlos del Zulia,59,VE,1583037555,85,9.0,-71.91,296.81,2.12
532,Hannibal,1,US,1583037555,52,39.71,-91.36,278.71,5.1
533,Cambrils,96,ES,1583037555,47,41.07,1.05,288.71,3.6
534,Miguel Hidalgo,5,MX,1583037555,34,19.42,-99.2,292.15,5.1
535,Dawson Creek,1,CA,1583037556,77,55.77,-120.24,262.15,1.45
536,Hamilton,1,US,1583037556,73,39.18,-84.53,271.48,2.09
537,Nizhneangarsk,98,RU,1583037556,68,55.78,109.55,261.81,2.29
538,Palekastro,0,GR,1583037556,58,35.2,26.25,284.82,3.58
539,Oussouye,0,SN,1583037557,73,12.48,-16.55,297.15,1.0
540,Shahreza,0,IR,1583037557,29,32.03,51.88,286.12,5.81
541,Zapolyarnyy,68,RU,1583037557,84,69.42,30.81,258.15,5.7
542,Phang Nga,46,TH,1583037557,46,8.45,98.53,305.15,5.1
543,Manicoré,100,BR,1583037557,99,-5.81,-61.3,296.4,1.62
544,Mayo,1,US,1583037558,58,38.89,-76.51,274.26,2.1
545,Wonosari,40,ID,1583037558,70,-7.97,110.6,303.15,3.1
546,‘Ewa Beach,75,US,1583037558,77,21.32,-158.01,297.15,6.2
547,Ugoofaaru,14,MV,1583037558,74,5.67,73.0,301.1,4.44
548,Karasjok,100,NO,1583037559,85,69.47,25.51,264.15,5.7
549,Sibu,75,MY,1583037485,79,2.3,111.82,303.15,1.5
550,Sinjār,72,IQ,1583037559,74,36.32,41.88,284.26,6.24
551,Qasigiannguit,5,GL,1583037559,51,68.82,-51.19,247.15,2.1
552,Nishihara,75,JP,1583037559,78,26.18,127.76,299.15,6.7
553,Iralaya,89,HN,1583037560,78,15.0,-83.23,298.42,10.92
